Costumes,Description
Harley Quinn,"Following her introduction to the DC universe in 1999, Harley Quinn was depicted as a frequent accomplice and lover of the Joker as well as a close friend of fellow supervillain Poison Ivy; the former being one of her patients when she worked as an intern psychiatrist at Gotham City's Arkham Asylum. The character has been part of a short-lived alliance with Poison Ivy and Catwoman; the trio being known as the Gotham City Sirens. Since 2013, Harley Quinn has often been depicted as an antihero and a recurring core member of the Suicide Squad who has left her abusive relationship with the Joker behind, with Poison Ivy becoming her primary romantic interest.[8]

Harley Quinn's abilities include expert gymnastic skills, proficiency in weapons and hand-to-hand combat, complete unpredictability, immunity to toxins, and enhanced strength, agility, and durability. The character has a pair of pet hyenas, Bud and Lou, which sometimes serve as her attack dogs. As a trained psychiatrist with a genius level intellect, she is adept at deception and psychological manipulation.

Since her conception, Harley Quinn has become one of DC Comics' most popular and profitable characters, and has been featured in many of DC's comic books and adapted in various other media and merchandise. DC Comics Publisher Jim Lee considers Harley Quinn the fourth pillar of DC Comics' publishing line, behind Superman, Batman, and Wonder Woman."
Star Wars,"The Star Wars franchise depicts the adventures of characters ""A long time ago in a galaxy far, far away"",[5] in which humans and many species of aliens (often humanoid) co-exist with robots, or 'droids', who may assist them in their daily routines; space travel between planets is common due to lightspeed hyperspace technology.[6][7][8] Spacecraft range from small starfighters, to huge capital ships such as the Star Destroyers, to space stations such as the moon-sized Death Stars. Telecommunication includes two-way audio and audiovisual screens, and holographic projections.

A mystical power known as the Force is described in the original film as ""an energy field created by all living things ... [that] binds the galaxy together"".[9] Through training and meditation, those whom ""the Force is strong with"" are able to perform various superpowers (such as telekinesis, precognition, telepathy, and manipulation of physical energy).[10] The Force is wielded by two major knightly orders at conflict with each other: the Jedi, peacekeepers of the Galactic Republic who act on the light side of the Force through non-attachment and arbitration, and the Sith, who use the dark side by manipulating fear and aggression. While Jedi Knights can be numerous, the Dark Lords of the Sith (or 'Darths') are intended to be limited to two: a master and their apprentice.[11]

Force-wielders are very limited in numbers in comparison to the population. The Jedi and Sith prefer the use of a weapon called a lightsaber, a blade of energy that can cut through virtually any surface and deflect energy bolts. The rest of the population, as well as renegades and soldiers, use laser-powered blaster firearms. In the outer reaches of the galaxy, crime syndicates such as the Hutt cartel are dominant. Bounty hunters are often employed by both gangsters and governments. Illicit activities include smuggling and slavery."
Superhero,"A superhero or superheroine is a stock character that possesses superpowers, abilities beyond those of ordinary people, and fits the role of the hero, typically using his or her powers to help the world become a better place, or dedicating themselves to protecting the public and fighting crime. Superhero fiction is the genre of fiction that is centered on such characters,[1] especially, since the 1930s, in American comic books (and later in Hollywood films, film serials, television and video games), as well as in Japanese media (including kamishibai, tokusatsu, manga, anime). Superheroes come from a wide array of different backgrounds and origins. Some superheroes (for example, Batman and Iron Man) derive their status from advanced technology they create and use, while others (such as Superman and Spider-Man) possess non-human or superhuman biology or study and practice magic to achieve their abilities (such as Zatanna and Doctor Strange).[2][3][4] While the Dictionary.com definition of ""superhero"" is ""a figure, especially in a comic strip or cartoon, endowed with superhuman powers and usually portrayed as fighting evil or crime"",[5] the longstanding Merriam-Webster dictionary gives the definition as ""a fictional hero having extraordinary or superhuman powers; also: an exceptionally skillful or successful person.""[6] Terms such as masked crime fighters, costumed adventurers or masked vigilantes are sometimes used to refer to characters such as the Spirit, who may not be explicitly referred to as superheroes but nevertheless share similar traits. Some superheroes use their powers to help fight daily crime while also combating threats against humanity from supervillains, who are their criminal counterparts. Often at least one of these supervillains will be the superhero's archenemy or nemesis. Some popular supervillains become recurring characters in their own right; and long-running superheroes and superheroines such as Batman, Superman, Wonder Woman, Spider-Man, Captain America, and Iron Man have a rogues gallery of many such villains."
Pirate,"In these and countless other books, films, and legends, pirates are portrayed as ""swashbucklers"" and ""plunderers"". They are shown on ships, often wearing eyepatches or peg legs, having a parrot perched on their shoulder, and saying phrases like ""Arr, matey"" and ""Avast, me hearty"".[citation needed] Pirates have retained their image through pirate-themed tourist attractions, film, toys, books and plays.In films, books, cartoons, and toys, pirates often have an unrefined appearance that evokes their criminal lifestyle, rogue personalities and adventurous, seafaring pursuits. They are frequently depicted as greedy, mean-spirited, and focused largely on fighting and looting from enemy pirates and locating hidden treasure. They are often shown wearing shabby 17th or 18th century clothing, with a bandana or a feathered tricorne. They sometimes have an eye patch and almost always have a cutlass and a flintlock pistol, or some other sword or gun. They sometimes have scars and battle wounds, rotten or missing teeth (suggesting the effects of scurvy), as well as a hook or wooden stump where a hand or leg has been amputated. Some depictions of pirates also include monkeys or parrots as pets, the former usually assisting them in thieving goods due to their supposed mischievous disposition. The ship's captain will force captives and traitorous shipmates to walk the plank, usually over shark-infested waters.

Historical pirates were often sailors or soldiers who had fallen into misfortune, forced to serve at sea or to plunder goods and ships in order to survive. Depending on the moral and social context of a piece of pirate literature, the pirate characters in that piece may be represented as having fallen, perhaps resembling a ""respectable"" person in some way.[5] Pirate characters generally quest for buried treasure, which is often stored, after being plundered, in treasure chests. Pirates' treasure is usually gold or silver, often in the form of doubloons or pieces of eight."
Batman,"Batman has no inherent superhuman powers; he relies on ""his own scientific knowledge, detective skills, and athletic prowess"".[27] Batman's inexhaustible wealth gives him access to advanced technologies, and as a proficient scientist, he is able to use and modify these technologies to his advantage. In the stories, Batman is regarded as one of the world's greatest detectives, if not the world's greatest crime solver.[113] Batman has been repeatedly described as having a genius-level intellect, being one of the greatest martial artists in the DC Universe, and having peak human physical conditioning.[114] As a polymath, his knowledge and expertise in countless disciplines is nearly unparalleled by any other character in the DC Universe.[115] He has traveled the world acquiring the skills needed to aid him in his endeavors as Batman. In the Superman: Doomed story arc, Superman considers Batman to be one of the most brilliant minds on the planet.[116]Batman was originally introduced as a ruthless vigilante who frequently killed or maimed criminals, but evolved into a character with a stringent moral code and strong sense of justice. Unlike most superheroes, Batman does not possess any superpowers, instead relying on his intellect, fighting skills, and wealth. Batman is the alias of Bruce Wayne, a wealthy American playboy, philanthropist, and industrialist who resides in Gotham City. Batman's origin story features him swearing vengeance against criminals after witnessing the murder of his parents Thomas and Martha, a vendetta tempered with the ideal of justice. He trains himself physically and intellectually, crafts a bat-inspired persona, and monitors the Gotham streets at night. Kane, Finger, and other creators accompanied Batman with supporting characters, including his sidekick Robin; allies Alfred Pennyworth, James Gordon, and Catwoman; and foes such as the Penguin, the Riddler, Two-Face, and his archenemy, the Joker."
Minnie Mouse,"Minnie is classy, calm, sassy, well-mannered, cheerful, and feminine. She is filled with love and affection, polite to all her friends, and knows her manners.innie's early personality is cute, playful, musical and flirtatious. She often portrays an entertainer like a dancer or a musician whose affection Mickey is trying to win. Part of the comedy of these early shorts is the varying degree of success Mickey has in wooing Minnie. Unlike later cartoons after the redesign, Minnie often becomes a damsel in distress whom Mickey tries to rescue. She is also subject to a lot of slapstick and rubber hose animation gags. Over the course of the 1930s, Minnie's and Mickey's relationship solidified and they eventually became a steady couple."
Witch,"Witches are stereotypically associated with black cats, spells, wands, potions, flying broomsticks, a black pointed hat, dark clothes, the night, the moon, and stars, and anything mystical or magical. Witches are commonly found using cauldrons, brewing drugs, ointments, and other maleficent medicines. Flying through the skies on a broomstick, the popular image of a witch is as a predominantly female figure Probably the most widely known characteristic of a witch was the ability to cast a spell, spell being the word used to signify the means employed to carry out a magical action. A spell could consist of a set of words, a formula or verse, or a ritual action, or any combination of these.[28] Spells traditionally were cast by many methods, such as by the inscription of runes or sigils on an object to give that object magical powers; by the immolation or binding of a wax or clay image (poppet) of a person to affect them magically; by the recitation of incantations; by the performance of physical rituals; by the employment of magical herbs as amulets or potions; by gazing at mirrors, swords or other specula (scrying) for purposes of divination; and by many other means."
Minions,"The Minions are small, yellow creatures shaped like pill capsules. They are depicted as being roughly one-third to one-half the height of humans but they were later revealed to be 3 feet 7 inches (1.1 m) tall. They have one or two eyes, and their irises are almost always brown (except for Bob, who has one green and one brown eye). There appears to be no other difference between the two types beyond the number and colour of eyes, and their height. They have no discernable noses but seem capable of smelling, as they are shown smelling fruit and are affected by the Fart Gun. They are also shown without ears but can hear and respond to sounds. Most minions appear either bald or with a few wispy strands of black hair on their heads. Since their coming to America in the late 1960s, their clothing consists of blue overalls emblazoned with Gru's logo, black rubber gloves, shoes, and goggles. They mostly speak incomprehensible (to the audience, but understandable to the human characters in the films) gibberish, which is partly derived from other languages, including French, English, Japanese, Korean, Italian, Spanish, and German.[3][4][5] Although seemingly nonsensical, the English-sounding dialogue is dubbed differently for every country, in order to make the sounds somewhat recognizable.[6] They have common English-language names, such as Dave (one of the first known minions in the franchise), Kevin, Stuart, Bob (the lead trio in Minions), and Mel (the leader of the Minions in Despicable Me 3).[7][8] While shown as somewhat absent-minded and having very mischievous streaks, they also possess exceptional engineering abilities, being able to design and construct spaceships and playthings for Gru's adopted daughters, particularly the youngest Agnes. Minions, the 2015 animated feature film, shows that they have existed since the beginning of life on Earth. Minions are biologically wired to seek out and serve the most terrible of villains; when they have no ""boss"" to serve, they become depressed and listless.[9] They are also shown to have a degree of invulnerability, as Kevin, Stuart and Bob are able to survive a European torture chamber without any injuries, even playing with the torture devices. In the 2010 short film ""Banana"", the Minions are revealed to have an almost uncontrollable craving for fruit, especially bananas."
Joker,"In his comic book appearances, the Joker is portrayed as a criminal mastermind. Introduced as a psychopath with a warped, sadistic sense of humor, the character became a goofy prankster in the late 1950s in response to regulation by the Comics Code Authority, before returning to his darker roots during the early 1970s. As Batman's nemesis, the Joker has been part of the superhero's defining stories, including the murder of Jason Todd—the second Robin and Batman's ward—and the paralysis of one of Batman's allies, Barbara Gordon. The Joker has had various possible origin stories during his decades of appearances. The most common story involves him falling into a tank of chemical waste that bleaches his skin white and turns his hair green and lips bright red; the resulting disfigurement drives him insane. The antithesis of Batman in personality and appearance, the Joker is considered by critics to be his perfect adversary. The Joker possesses no superhuman abilities, instead using his expertise in chemical engineering to develop poisonous or lethal concoctions and thematic weaponry, including razor-tipped playing cards, deadly joy buzzers, and acid-spraying lapel flowers. The Joker sometimes works with other Gotham City supervillains, such as the Penguin and Two-Face, and groups like the Injustice Gang and Injustice League, but these relationships often collapse due to the Joker's desire for unbridled chaos. The 1990s introduced a romantic interest for the Joker in his former psychiatrist, Harley Quinn, who became his villainous sidekick and later escaped an abusive relationship with him. Although his primary obsession is Batman, the Joker has also fought other heroes, including Superman and Wonder Woman. One of the most iconic characters in popular culture, the Joker has been listed among the greatest comic book villains and fictional characters ever created. The character's popularity has seen him appear on a variety of merchandise, such as clothing and collectible items, inspire real-world structures (such as theme park attractions), and be referenced in a number of media. The Joker has been adapted in live-action, animated, and video game incarnations Renowned as Batman's greatest enemy,[108][109][110][111] the Joker is known by a number of nicknames, including the Clown Prince of Crime, the Harlequin of Hate, the Ace of Knaves, and the Jester of Genocide.[110][112] During the evolution of the DC Universe, interpretations and versions of the Joker have taken two main forms. The original, dominant image is that of an extreme psychopath,[113] with genius-level intelligence and a warped, sadistic sense of humor.[114][115] The other version, popular in comic books from the late 1940s to the 1960s and in the 1960s television series, is an eccentric, harmless prankster and thief.[116] Like other long-lived characters, the Joker's character and cultural interpretations have changed with time; however, unlike other characters who may need to reconcile or ignore previous versions to make sense, more than any other comic book character, the Joker thrives on his mutable and irreconcilable identities.[117] The Joker is typically seen in a purple suit with a long-tailed, padded-shoulder jacket, a string tie, gloves, striped pants and spats on pointed-toe shoes (sometimes with a wide-brimmed hat). This appearance is such a fundamental aspect of the character that when the 2004 animated series The Batman placed the Joker in a straitjacket, it quickly redesigned him in his familiar suit.[116]

The Joker is obsessed with Batman, the pair representing a yin-yang of opposing dark and light force; although it is the Joker who represents humor and color and Batman who dwells in the dark.[118] No crime – including murder, theft, and terrorism – is beyond the Joker, and his exploits are theatrical performances that are funny to him alone. Spectacle is more important than success for the Joker, and if it is not spectacular it is boring.[119] Although the Joker claims indifference to everything, he secretly craves Batman's attention and validation.[120][33] The character was described as having killed over 2,000 people in The Joker: Devil's Advocate (1996). Despite this body count, he is always found not guilty by reason of insanity and sent to Arkham Asylum, avoiding the death penalty.[121][122] Many of the Joker's acts attempt to force Batman to kill; if the most orderly and self-controlled of humans can murder, anyone is capable of becoming a monster like the Joker. The villain displays no instinct for self-preservation, and is willing to die to prove his point.[123] The Joker is the ""personification of the irrational,"" and represents ""everything Batman [opposes].""[124]"
Wonder Woman,"Wonder Woman was created by the American psychologist and writer William Moulton Marston (pen name: Charles Moulton),[2] and artist Harry G. Peter. Marston's wife, Elizabeth, and their life partner, Olive Byrne,[7] are credited as being his inspiration for the character's appearance.[2][8][9][10][11] Marston's comics featured his ideas on DISC theory,[12] and the character drew a great deal of inspiration from early feminists.

Wonder Woman's Bronze Age origin story relates that she was sculpted from clay by her mother Queen Hippolyta and was given a life as an Amazon, along with superhuman powers as gifts by the Greek gods. In 2011, DC changed her background with the retcon that she is the biological daughter of Zeus and Hippolyta, jointly raised by her mother and her aunts Antiope and Menalippe. The character has changed in depiction over the decades, including briefly losing her powers entirely in the late 1960s; by the 1980s, artist George Perez gave her an athletic look and emphasized her Amazonian heritage.[13][14] She possesses an arsenal of magical items, including the Lasso of Truth, a pair of indestructible bracelets, a tiara which serves as a projectile, and, in older stories, a range of devices based on Amazon technology.

Wonder Woman's character was created during World War II; the character in the story was initially depicted fighting Axis forces as well as an assortment of colorful supervillains, although over time her stories came to place greater emphasis on characters, deities, and monsters from Greek mythology. Many stories depicted Wonder Woman freeing herself from bondage, which counterpointed the ""damsels in distress"" trope that was common in comics during the 1940s.[15][16] In the decades since her debut, Wonder Woman has gained a cast of enemies bent on destroying her, including classic villains such as Ares, Cheetah, Doctor Poison, Circe, Doctor Psycho, and Giganta, along with more recent adversaries such as Veronica Cale and the First Born. Wonder Woman has also regularly appeared in comic books featuring the superhero teams Justice Society (from 1941) and Justice League (from 1960).[17]

The character is an archetypical figure in popular culture that has been adapted to various media. October 21 is Wonder Woman Day, commemorating the release of her first appearance in All Star Comics #8[18] (with the exception of 2017 which held the day on June 3 to tie in with the release of the film of the same name).[19]

Wonder Woman has been featured in various media from radio to television and film, and appears in merchandise sold around the world, such as apparel, toys, dolls, jewelry, and video games."
